name,year,DelayOccurence
2017,2,34359
2017,3,35470
2017,4,34978
2017,5,35572
2017,6,35826
2017,7,36967
2017,0,33691
2018,3,37495
2018,4,35922
2018,5,36863
2018,6,36867
2018,7,39132
2018,0,35451
2018,1,34681
2019,4,34957
2019,5,37351
2019,6,37707
2019,7,40292
2019,0,35204
2019,1,35666
2019,2,37380
