group,var1,var2,var3,var4,var5,var6,var7,var8,var9,var10,var11,var12,var13
SNO,1,7,0,1,4,307,7,21,11,2,1,,
SOC,0,3,0,2,6,159,1,5,35,18,,,
SOQ,1,0,0,,,4,3,1,11,9,1,2,
SRG,0,20,4,10,11,943,7,11,904,13,1,3,
STV,1,3,0,1,3,67,6,,28,2,,2,
SUB,19,598,5,31,216,3030,1252,71,866,1112,28,99,
SWA,0,5,5,12,10,566,13,8,187,60,,2,
SXR,2,4,1,5,22,487,2,24,414,23,,3,
SYD,1,54,20,31,20,465,23,5,176,140,2,16,
SYX,1,0,0,,1,2,,,16,8,,,
SZB,0,1,0,,1,30,,2,1,,,1,
SZX,2,20,7,19,37,1448,15,41,1442,365,56,4,
TAC,4,59,1,11,201,1857,61,82,1598,173,,1,
TAG,2,23,1,,53,1061,12,35,967,58,,5,
TBS,0,0,0,,,1,,,,,,,
TGG,2,42,0,3,35,2373,202,39,218,94,17,,
TJQ,0,11,0,1,2,73,5,4,21,4,1,2,
TLS,0,0,0,,,2,,,1,,,,
TPE,2,725,24,106,82,3068,147,13,2740,98,,42,
TRV,0,0,0,,,8,,,3,,,,
TRZ,0,1,3,2,50,1806,7,2,50,8,,2,
TSN,0,1,0,1,9,195,3,2,228,,,,
TST,0,36,0,6,19,1263,16,83,74,6,1,,
TWU,15,177,705,67,96,4646,83,273,670,793,28,22,
UBP,0,140,3,2,21,869,40,18,103,3,2,4,
UDR,0,0,0,,,2,,,,,,,
UNN,0,0,0,,,73,,1,2,,,,
UPG,0,1,0,,5,188,6,4,23,2,,3,
URC,0,1,0,,,2,,,3,1,,,
URT,0,73,0,2,51,1982,33,9,60,17,2,1,
UTH,1,288,0,5,43,1834,33,14,723,103,6,9,
UTP,7,223,0,11,56,1663,430,48,685,175,10,106,
UYN,0,0,0,,,4,,,,,,,
VCA,0,0,0,,,7,,,1,1,,1,
VNS,0,0,0,,,2,,,,,,,
VTE,5,18,26,4,15,468,9,3,80,205,87,8,
VTZ,3,13,5,2,36,1135,29,19,341,17,,15,
WUH,1,10,0,19,29,1106,13,7,1377,30,,9,
XIY,2,30,1,11,29,476,9,17,96,30,3,2,
XSP,0,0,0,,,1,,,,,,,
YIA,0,1,0,,,5,,1,5,1,1,1,
YIH,2,0,0,,,1,,,4,,,,
