departurestation,Metric,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday
CCU,A0600_0659_to_A1100_1159,1.97,0.34,3.1,2.68,4.86,2.68,1.37
CCU,A1200_1259_to_A1700_1759,14.75,13.18,15.17,13.38,14.24,16.44,14.78
CCU,A1800_1859_to_A2300_2359,11.15,11.82,12.07,12.37,10.76,12.42,11.68
CEB,A0000_1259_to_A0500_0559,0.61,0.73,0.47,1.08,0.76,0.6,0.3
CEB,A0600_0659_to_A1100_1159,14.07,13.51,14.84,14.0,13.57,13.24,16.24
CEB,A1200_1259_to_A1700_1759,17.1,15.71,18.44,16.62,19.97,17.86,21.16
CEB,A1800_1859_to_A2300_2359,24.36,25.7,27.03,22.62,24.09,27.23,27.27
CEI,A0000_1259_to_A0500_0559,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CEI,A0600_0659_to_A1100_1159,18.15,23.3,19.81,22.33,20.45,22.15,14.94
CEI,A1200_1259_to_A1700_1759,22.93,32.36,26.84,29.77,32.14,32.9,22.73
CEI,A1800_1859_to_A2300_2359,8.6,8.09,8.63,9.39,9.42,10.1,6.82
CGK,A0000_1259_to_A0500_0559,7.07,5.66,6.21,6.88,6.87,6.17,4.41
CGK,A0600_0659_to_A1100_1159,17.24,21.35,19.89,21.3,20.54,20.98,16.99
CGK,A1200_1259_to_A1700_1759,17.95,20.74,20.8,22.04,21.07,21.22,19.56
CGK,A1800_1859_to_A2300_2359,13.91,13.66,12.84,14.86,14.15,16.51,13.42
CGQ,A0000_1259_to_A0500_0559,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CGQ,A0600_0659_to_A1100_1159,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CGQ,A1200_1259_to_A1700_1759,100.0,100.0,0.0,100.0,100.0,100.0,100.0
CGQ,A1800_1859_to_A2300_2359,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CJB,A0000_1259_to_A0500_0559,0.0,0.0,0.0,0.0,0.0,100.0,0.0
CJB,A0600_0659_to_A1100_1159,0.0,0.0,0.0,0.0,50.0,0.0,0.0
CJB,A1200_1259_to_A1700_1759,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CJB,A1800_1859_to_A2300_2359,0.0,0.0,0.0,0.0,50.0,0.0,0.0
CJU,A0000_1259_to_A0500_0559,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CJU,A0600_0659_to_A1100_1159,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CJU,A1200_1259_to_A1700_1759,0.0,100.0,100.0,100.0,0.0,0.0,100.0
CJU,A1800_1859_to_A2300_2359,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CKG,A0000_1259_to_A0500_0559,25.79,0.0,22.44,0.0,25.0,0.0,21.66
CKG,A0600_0659_to_A1100_1159,4.4,8.65,3.21,6.73,7.69,7.69,6.37
CKG,A1200_1259_to_A1700_1759,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CKG,A1800_1859_to_A2300_2359,1.26,7.69,4.49,10.58,6.41,6.73,5.73
CMB,A0000_1259_to_A0500_0559,0.0,0.0,0.0,0.0,0.0,0.0,1.37
CMB,A0600_0659_to_A1100_1159,2.17,4.17,6.85,4.44,8.33,3.26,4.11
CMB,A1200_1259_to_A1700_1759,0.0,0.0,0.0,0.0,0.0,1.09,0.0
CMB,A1800_1859_to_A2300_2359,10.87,13.89,16.44,13.33,11.11,13.04,12.33
CNX,A0000_1259_to_A0500_0559,0.0,0.0,0.0,0.0,0.0,0.06,0.06
CNX,A0600_0659_to_A1100_1159,5.72,7.76,8.06,7.76,7.55,6.92,6.6
CNX,A1200_1259_to_A1700_1759,13.48,16.83,16.68,15.08,16.6,16.47,14.4
CNX,A1800_1859_to_A2300_2359,8.31,9.81,8.93,9.44,10.3,10.29,7.8
COK,A0000_1259_to_A0500_0559,0.95,0.25,0.81,0.95,0.48,0.71,0.95
COK,A0600_0659_to_A1100_1159,8.1,8.09,8.33,9.95,8.23,9.0,7.35
COK,A1200_1259_to_A1700_1759,5.95,5.39,1.34,7.35,7.75,7.58,8.29
COK,A1800_1859_to_A2300_2359,19.05,24.51,18.28,23.22,20.58,23.22,21.33
CRK,A0000_1259_to_A0500_0559,2.22,2.47,8.0,4.76,37.5,0.0,0.0
CRK,A0600_0659_to_A1100_1159,26.67,13.58,0.0,28.57,25.0,16.46,0.0
CRK,A1200_1259_to_A1700_1759,4.44,24.69,32.0,2.38,12.5,30.38,60.0
CRK,A1800_1859_to_A2300_2359,0.0,1.23,4.0,4.76,0.0,0.0,20.0
CSX,A0000_1259_to_A0500_0559,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CSX,A0600_0659_to_A1100_1159,0.0,0.0,0.0,0.0,0.77,0.0,0.0
CSX,A1200_1259_to_A1700_1759,9.23,7.69,6.98,10.9,12.31,9.03,6.45
CSX,A1800_1859_to_A2300_2359,24.62,37.82,31.01,37.82,33.85,40.0,37.42
CTS,A0000_1259_to_A0500_0559,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CTS,A0600_0659_to_A1100_1159,38.1,42.17,14.58,35.96,25.71,40.74,35.29
CTS,A1200_1259_to_A1700_1759,5.95,6.02,12.5,11.24,22.86,4.94,11.76
CTS,A1800_1859_to_A2300_2359,5.95,3.61,8.33,5.62,5.71,7.41,9.8
CTU,A0000_1259_to_A0500_0559,0.0,0.0,0.0,0.0,0.0,1.64,0.0
CTU,A0600_0659_to_A1100_1159,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CTU,A1200_1259_to_A1700_1759,52.83,0.0,0.0,13.11,0.0,0.0,62.26
CTU,A1800_1859_to_A2300_2359,0.0,62.3,63.46,37.7,62.75,59.02,0.0
CXR,A0000_1259_to_A0500_0559,0.0,0.0,0.0,0.0,0.0,0.0,0.0
