Day,y2017,y2018,y2019
1_Sunday,31262,33415,32786
2_Monday,31873,32622,33113
3_Tuesday,32919,35266,34838
4_Wednesday,32352,33822,32477
5_Thursday,33037,34655,34802
6_Friday,33230,34679,35146
7_Saturday,34198,36782,37732
