Day,y2017,y2018,y2019
1_Sun,312,335,326
2_Mon,318,322,333
3_Tue,329,366,348
4_Thur,352,322,377
5_Fri,337,355,4802
6_Sat,330,679,5146
7_Sun,198,382,7732
