DepartureStation Bucket Sunday Monday Tuesday	Wednesday Thursday Friday Saturday 	
HKT	A0000_1259_to_A0500_0559	0.06	0.0	0.0	0.12	0.06	0.06	0.19	
HKT	A0600_0659_to_A1100_1159	9.94	12.81	11.2	10.37	12.68	11.31	10.69	
HKT	A1200_1259_to_A1700_1759	19.03	22.36	20.98	20.31	22.79	22.06	21.19	
HKT	A1800_1859_to_A2300_2359	16.36	15.7	16.28	17.76	16.33	20.2	13.0	
JHB	A0000_1259_to_A0500_0559	0.09	0.0	0.0	0.0	0.0	0.0	0.0	
JHB	A0600_0659_to_A1100_1159	12.69	12.26	11.65	14.11	10.83	12.85	10.86	
JHB	A1200_1259_to_A1700_1759	6.62	7.68	12.07	7.1	14.77	8.76	12.44	
JHB	A1800_1859_to_A2300_2359	10.91	12.56	15.62	13.33	16.41	14.34	14.84	
KBV	A0000_1259_to_A0500_0559	0.73	0.89	0.3	0.74	0.74	0.45	0.45	
KBV	A0600_0659_to_A1100_1159	9.96	12.04	12.41	11.72	10.67	10.63	9.09	
KBV	A1200_1259_to_A1700_1759	14.64	18.87	18.09	16.32	19.11	18.71	16.69	
KBV	A1800_1859_to_A2300_2359	7.76	7.73	9.12	8.16	9.04	8.23	6.41	
KCH	A0000_1259_to_A0500_0559	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
KCH	A0600_0659_to_A1100_1159	7.38	8.56	8.14	7.74	8.95	8.35	8.43	
KCH	A1200_1259_to_A1700_1759	12.78	15.05	15.34	16.07	15.48	14.52	13.85	
KCH	A1800_1859_to_A2300_2359	12.48	10.96	13.79	10.54	14.25	14.33	12.68	
KLO	A0000_1259_to_A0500_0559	7.39	6.86	9.91	8.02	6.92	9.77	8.44	
KLO	A0600_0659_to_A1100_1159	18.04	13.14	13.22	17.82	12.75	14.97	12.66	
KLO	A1200_1259_to_A1700_1759	19.57	21.37	25.91	19.82	20.22	21.41	24.04	
KLO	A1800_1859_to_A2300_2359	20.22	14.31	15.65	17.37	13.84	16.84	14.5	
KNO	A0000_1259_to_A0500_0559	2.31	1.85	1.77	1.7	0.81	0.84	0.64	
KNO	A0600_0659_to_A1100_1159	12.03	14.14	12.58	13.58	13.25	14.0	11.18	
KNO	A1200_1259_to_A1700_1759	25.7	26.26	28.23	26.83	30.86	28.84	27.32	
KNO	A1800_1859_to_A2300_2359	14.83	13.97	13.55	14.26	14.7	16.69	12.94	
KUL	A0000_1259_to_A0500_0559	1.25	1.14	1.31	1.34	1.2	1.23	1.17	
KUL	A0600_0659_to_A1100_1159	20.52	21.33	20.42	21.15	20.5	21.12	20.76	
KUL	A1200_1259_to_A1700_1759	23.76	25.66	25.03	25.37	25.49	25.46	24.63	
KUL	A1800_1859_to_A2300_2359	19.62	18.7	18.93	18.77	19.62	20.22	17.62	
LGK	A0000_1259_to_A0500_0559	1.94	0.0	0.26	0.0	0.51	0.0	0.26	
LGK	A0600_0659_to_A1100_1159	10.71	12.68	10.97	10.89	8.71	10.55	10.6	
LGK	A1200_1259_to_A1700_1759	26.99	32.7	31.63	30.86	34.85	34.12	34.87	
LGK	A1800_1859_to_A2300_2359	14.46	14.22	10.33	15.67	11.11	16.47	12.64	
MNL	A0000_1259_to_A0500_0559	2.25	1.9	2.19	2.01	1.99	2.1	2.15	
MNL	A0600_0659_to_A1100_1159	21.06	20.89	22.62	21.22	20.99	22.03	23.46	
MNL	A1200_1259_to_A1700_1759	25.97	26.65	26.91	27.35	24.87	26.39	26.7	
MNL	A1800_1859_to_A2300_2359	14.37	13.17	14.89	12.3	13.38	13.93	12.62	
NGO	A0000_1259_to_A0500_0559	2.78	0.0	0.0	0.0	0.0	0.0	0.0	
NGO	A0600_0659_to_A1100_1159	36.11	22.58	15.38	16.67	25.71	33.33	26.32	
NGO	A1200_1259_to_A1700_1759	27.78	22.58	23.08	33.33	40.0	16.67	18.42	
NGO	A1800_1859_to_A2300_2359	0.0	0.0	0.0	0.0	0.0	3.33	5.26	
PEN	A0000_1259_to_A0500_0559	0.06	0.0	0.0	0.0	0.0	0.0	0.06	
PEN	A0600_0659_to_A1100_1159	11.47	12.24	9.11	10.76	10.46	11.27	9.11	
PEN	A1200_1259_to_A1700_1759	25.39	25.76	30.19	26.77	30.37	27.15	29.58	
PEN	A1800_1859_to_A2300_2359	20.95	19.88	19.0	20.24	20.3	22.18	18.34	
SIN	A0000_1259_to_A0500_0559	0.05	0.0	0.0	0.0	0.0	0.05	0.0	
SIN	A0600_0659_to_A1100_1159	15.04	20.08	21.14	19.83	21.11	20.4	19.83	
SIN	A1200_1259_to_A1700_1759	28.21	29.74	29.05	28.87	28.97	29.89	29.11	
SIN	A1800_1859_to_A2300_2359	23.83	19.67	20.0	20.97	21.48	24.54	17.93	
SUB	A0000_1259_to_A0500_0559	10.77	4.39	6.24	5.81	7.95	4.2	4.68	
SUB	A0600_0659_to_A1100_1159	21.01	26.87	27.29	24.5	25.58	25.96	25.54	
SUB	A1200_1259_to_A1700_1759	13.64	16.64	8.58	16.52	9.5	16.45	7.41	
SUB	A1800_1859_to_A2300_2359	11.85	12.07	13.26	14.34	12.79	13.35	14.23	
UTP	A0000_1259_to_A0500_0559	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
UTP	A0600_0659_to_A1100_1159	6.24	9.02	9.42	7.2	8.71	5.94	6.94	
UTP	A1200_1259_to_A1700_1759	10.6	8.82	1.57	13.35	3.79	15.07	3.58	
UTP	A1800_1859_to_A2300_2359	3.12	10.22	13.45	4.87	13.62	3.82	12.3						
